Codigo,DESCRICAO,Classificação,Caso
A505,Outras formas tardias e sintomáticas da sífilis congênita,Outros,0
A506,Sífilis congênita tardia latente,Outros,0
A507,Sífilis congênita tardia não especificada,Outros,0
A509,Sífilis congênita não especificada,Outros,0
A510,Sífilis genital primária,Outros,0
A511,Sífilis anal primária,Outros,0
A512,Sífilis primária de outras localizações,Outros,0
A513,Sífilis secundária da pele e das mucosas,Outros,0
A514,Outras formas de sífilis secundária,Outros,0
A515,Sífilis precoce latente,Outros,0
A519,Sífilis precoce não especificada,Outros,0
A520,Sífilis cardiovascular,Outros,0
A521,Neurossífilis sintomática,Outros,0
A522,Neurossífilis assintomática,Outros,0
A523,Neurossífilis não especificada,Outros,0
A527,Outras formas de sífilis tardia sintomática,Outros,0
A528,Sífilis tardia latente,Outros,0
A529,Sífilis tardia não especificada,Outros,0
A530,"Sífilis latente, não especificada se recente ou tardia",Outros,0
A539,Sífilis não especificada,Outros,0
A540,"Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias",Outros,0
A541,"Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias",Outros,0
A542,Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas,Outros,0
A543,Infecção gonocócica do olho,Outros,0
A544,Infecção gonocócica do sistema músculo-esquelético,Outros,0
A545,Faringite gonocócica,Outros,0
A546,Infecção gonocócica do ânus ou do reto,Outros,0
A548,Outras infecções gonocócicas,Outros,0
A549,Infecção gonocócica não especificada,Outros,0
A55,Linfogranuloma (venéreo) por clamídia,Outros,0
A560,Infecções por clamídias do trato geniturinário inferior,Outros,0
A561,"Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários",Outros,0
A562,"Infecção por clamídias do trato geniturinário, localização não especificada",Outros,0
A563,Infecção do ânus e do reto por clamídias,Outros,0
A564,Infecção da faringe por clamídias,Outros,0
A568,"Infecção por clamídias transmitida por via sexual, de outras localizações",Outros,0
A57,Cancro mole,Outros,0
A58,Granuloma inguinal,Outros,0
A590,Tricomoníase urogenital,Outros,0
A598,Outras localizações de tricomoníase,Outros,0
A599,Tricomoníase não especificada,Outros,0
A600,Infecções anogenitais pelo vírus do herpes [herpes simples],Outros,0
A601,Infecção da margem cutânea do ânus e do reto pelo vírus do herpes,Outros,0
A609,Infecção anogenital não especificada pelo vírus do herpes,Outros,0
A630,Verrugas anogenitais (venéreas),Outros,0
A638,Outras doenças especificadas de transmissão predominantemente sexual,Outros,0
A64,"Doenças sexualmente transmitidas, não especificadas",Outros,0
A65,Sífilis não-venérea,Outros,0
A660,Lesões iniciais da bouba,Outros,0
A661,Papilomas múltiplos e bouba plantar úmida (cravo de bouba),Outros,0
A662,Outras lesões cutâneas precoces da bouba,Outros,0
A663,Hiperceratose devida a bouba,Outros,0
A664,Gomas e úlceras devidas à bouba,Outros,0
A665,Gangosa,Outros,0
A666,Lesões osteoarticulares devidas à bouba,Outros,0
A667,Outras manifestações da bouba,Outros,0
A668,Bouba latente,Outros,0
A669,Bouba não especificada,Outros,0
A670,Lesões primárias da pinta,Outros,0
A671,Lesões intermediárias da pinta,Outros,0
A672,Lesões tardias da pinta,Outros,0
A673,Lesões mistas da pinta,Outros,0
A679,Pinta não especificada,Outros,0
A680,Febre recorrente transmitida por piolhos,Outros,0
A681,Febre recorrente transmitida por carrapatos,Outros,0
A689,Febre recorrente não especificada,Outros,0
A690,Estomatite ulcerativa necrotizante,Outros,0
A691,Outras infecções de Vincent,Outros,0
A692,Doença de Lyme,Outros,0
A698,Outras infecções especificadas por espiroquetas,Outros,0
A699,"Infecção por espiroqueta, não especificada",Outros,0
A70,Infecções causadas por Clamídia psittaci,Outros,0
A710,Fase inicial do tracoma,Outros,0
A711,Fase ativa do tracoma,Outros,0
A719,Tracoma não especificado,Outros,0
A740,Conjuntivite causada por clamídias,Outros,0
A748,Outras doenças causadas por clamídias,Outros,0
A749,Infecção causada por clamídias não especificada,Outros,0
A750,Tifo epidêmico transmitido por piolhos devido a Rickettsia prowazekii,Outros,0
A751,Tifo recrudescente [doença de Brill],Outros,0
A752,Tifo por Rickettsia typhi,Outros,0
A753,Tifo por Rickettsia tsutsugamuchi,Outros,0
A759,Tifo não especificado,Outros,0
A770,Febre maculosa por Rickettsia richettsii,Outros,0
A771,Febre maculosa por Rickettsia conorii,Outros,0
A772,Febre maculosa devida à Rickettsia siberica,Outros,0
A773,Febre maculosa devida à Rickettsia australis,Outros,0
A778,Outras febres maculosas,Outros,0
A779,Febre maculosa não especificada,Outros,0
A78,Febre Q,Outros,0
A790,Febre das trincheiras,Outros,0
A791,Rickettsiose variceliforme devida à Rickettsia akari,Outros,0
A798,Outros tipos de rickettsioses especificadas,Outros,0
A799,Rickettsiose não especificada,Outros,0
A800,"Poliomielite paralítica aguda, associada ao vírus vacinal",Outros,0
A801,"Poliomielite paralítica aguda, vírus selvagem importado",Outros,0
A802,"Poliomielite paralítica aguda, vírus selvagem indígena",Outros,0
A803,"Poliomielites paralíticas agudas, outras e não especificadas",Outros,0
A804,Poliomielite aguda não-paralítica,Outros,0
A809,Poliomielite aguda não especificada,Outros,0
A810,Doença de Creutzfeldt-Jakob,Outros,0
A811,Panencefalite esclerosante subaguda,Outros,0
A812,Leucoencefalopatia multifocal progressiva,Outros,0
A818,Outras infecções por vírus atípicos do sistema nervoso central,Outros,0
A819,Infecção não especificada do sistema nervosos central por vírus atípicos,Outros,0
A820,Raiva silvestre,Outros,0
A821,Raiva urbana,Outros,0
A829,Raiva não especificada,Outros,0
A830,Encefalite japonesa,Outros,0
A831,Encefalite eqüina ocidental,Outros,0
A832,Encefalite eqüina oriental,Outros,0
A833,Encefalite de St. Louis,Outros,0
A834,Encefalite australiana,Outros,0
A835,Encefalite da Califórnia,Outros,0
A836,Doença pelo vírus de Rocio,Outros,0
A838,Outras encefalites por vírus transmitidas por mosquitos,Outros,0
A839,Encefalite não especificada por vírus transmitida por mosquitos,Outros,0
A840,Encefalite da taiga [encefalite vernoestival russa],Outros,0
A841,Encefalite da Europa Central transmitida por carrapatos,Outros,0
A848,Outras encefalites por vírus transmitidas por carrapatos,Outros,0
A849,Encefalite não especificada por vírus transmitida por carrapatos,Outros,0
A850,Encefalite por enterovírus,Outros,0
A851,Encefalite por adenovírus,Outros,0
A852,"Encefalite por vírus transmitido por artrópodes, não especificada",Outros,0
A858,Outras encefalites virais especificadas,Outros,0
A86,"Encefalite viral, não especificada",Outros,0
A870,Meningite por enterovírus,Outros,0
A871,Meningite por adenovírus,Outros,0
A872,Coriomeningite linfocitária,Outros,0
A878,Outras meningites virais,Outros,0
A879,Meningite viral não especificada,Outros,0
A880,Febre exantemática por enterovírus [exantema de Boston],Outros,0
A881,Vertigem epidêmica,Outros,0
A888,Outras infecções virais especificadas do sistema nervoso central,Outros,0
A89,Infecções virais não especificadas do sistema nervoso central,Outros,0
A90,Dengue [dengue clássico],Outros,0
A91,Febre hemorrágica devida ao vírus do dengue,Outros,0
A920,Febre de Chikungunya,Outros,0
A921,Febre de O'nyong-nyong,Outros,0
A922,Febre eqüina venezuelana,Outros,0
A923,Febre por vírus West Nile,Outros,0
A924,Febre do vale do Rift,Outros,0
A928,Outras febres virais especificadas transmitidas por mosquitos,Outros,0
A929,"Febre viral transmitida por mosquitos, não especificada",Outros,0
A930,Febre de Oropouche,Outros,0
A931,Febre por flebótomos,Outros,0
A932,Febre do Colorado transmitida por carrapatos,Outros,0
A938,Outras febres virais especificadas transmitidas por artrópodes,Outros,0
A94,"Febre viral transmitida por artrópodes, não especificada",Outros,0
A950,Febre amarela silvestre,Outros,0
A951,Febre amarela urbana,Outros,0
A959,Febre amarela não especificada,Outros,0
A960,Febre hemorrágica de Junin,Outros,0
A961,Febre hemorrágica de Machupo,Outros,0
A962,Febre de Lassa,Outros,0
A968,Outras febres hemorrágicas por arenavírus,Outros,0
A969,"Febre hemorrágica por arenavírus, não especificada",Outros,0
A980,Febre hemorrágica da Criméia (do Congo),Outros,0
A981,Febre hemorrágica de Omsk,Outros,0
A982,Doença da floresta de Kyasanur,Outros,0
A983,Doença de Marburg,Outros,0
A984,Doença pelo vírus Ebola,Outros,0
A985,Febre hemorrágica com síndrome renal,Outros,0
A988,Outras febres hemorrágicas especificadas por vírus,Outros,0
A99,Febres hemorrágicas virais não especificadas,Outros,0
B000,Eczema herpético,Outros,0
B001,Dermatite vesicular devido ao vírus do herpes,Outros,0
B002,Gengivoestomatite e faringoamigdalite devida ao vírus do herpes,Outros,0
B003,Meningite devida ao vírus do herpes,Outros,0
B004,Encefalite devida ao vírus do herpes,Outros,0
B005,Afecções oculares devidas ao vírus do herpes,Outros,0
B007,Doença disseminada devida ao vírus do herpes,Outros,0
B008,Outras formas de infecção devida ao vírus do herpes,Outros,0
B009,Infecção não especificada devida ao vírus do herpes,Outros,0
B010,Meningite por varicela,Outros,0
B011,Encefalite por varicela,Outros,0
B012,Pneumopatia varicelosa,Outros,0
B018,Varicela com outras complicações,Outros,0
B019,Varicela sem complicação,Outros,0
B020,Encefalite pelo vírus do herpes zoster,Outros,0
B021,Meningite pelo vírus do herpes zoster,Outros,0
B022,Herpes zoster acompanhado de outras manifestações neurológicas,Outros,0
B023,Herpes zoster oftálmico,Outros,0
B027,Herpes zoster disseminado,Outros,0
B028,Herpes zoster com outras complicações,Outros,0
B029,Herpes zoster sem complicação,Outros,0
B03,Varíola,Outros,0
B04,Varíola dos macacos [Monkeypox],Outros,0
B050,Sarampo complicado por encefalite,Outros,0
B051,Sarampo complicado por meningite,Outros,0
B052,Sarampo complicado por pneumonia,Outros,0
B053,Sarampo complicado por otite média,Outros,0
B054,Sarampo com complicações intestinais,Outros,0
B058,Sarampo com outras complicações,Outros,0
B059,Sarampo sem complicação,Outros,0
B060,Rubéola com complicações neurológicas,Outros,0
B068,Rubéola com outras complicações,Outros,0
B069,Rubéola sem complicação,Outros,0
B07,Verrugas de origem viral,Outros,0
B080,Outras infecções por ortopoxvírus,Outros,0
B081,Molusco contagioso,Outros,0
B082,Exantema súbito [sexta doença],Outros,0
B083,Eritema infeccioso [quinta doença],Outros,0
B084,Estomatite vesicular devida a enterovírus com exantema,Outros,0
B085,Faringite vesicular devida a enterovírus,Outros,0
B088,Outras infecções virais especificadas caracterizadas por lesões de pele e das membranas mucosas,Outros,0
B09,Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas,Outros,0
B150,Hepatite A com coma hepático,Outros,0
B159,Hepatite A sem coma hepático,Outros,0
B160,"Hepatite aguda B com agente Delta (co-infecção), com coma hepático",Outros,0
B161,"Hepatite aguda B com agente Delta, (co-infecção), sem coma hepático",Outros,0
B162,"Hepatite aguda B sem agente Delta, com coma hepático",Outros,0
B169,Hepatite aguda B sem agente Delta e sem coma hepático,Outros,0
B170,(Super)infecção Delta aguda de portador de hepatite B,Outros,0
B171,Hepatite aguda C,Outros,0
B172,Hepatite aguda E,Outros,0
B178,Outras hepatites virais agudas especificadas,Outros,0
B180,Hepatite viral crônica B com agente Delta,Outros,0
B181,Hepatite crônica viral B sem agente Delta,Outros,0
B182,Hepatite viral crônica C,Outros,0
B188,Outras hepatites crônicas virais,Outros,0
B189,Hepatite viral crônica não especificada,Outros,0
B190,"Hepatite viral, não especificada, com coma",Outros,0
B199,"Hepatite viral, não especificada, sem coma",Outros,0
B200,Doença pelo HIV resultando em infecções micobacterianas,Outros,0
B201,Doença pelo HIV resultando em outras infecções bacterianas,Outros,0
B202,Doença pelo HIV resultando em doença citomegálica,Outros,0
B203,Doença pelo HIV resultando em outras infecções virais,Outros,0
B204,Doença pelo HIV resultando em candidíase,Outros,0
B205,Doença pelo HIV resultando em outras micoses,Outros,0
B206,Doença pelo HIV resultando em pneumonia por Pneumocystis carinii,Outros,0
B207,Doença pelo HIV resultando em infecções múltiplas,Outros,0
B208,Doença pelo HIV resultando em outras doenças infecciosas e parasitárias,Outros,0
B209,Doença pelo HIV resultando em doença infecciosa ou parasitária não especificada,Outros,0
B210,Doença pelo HIV resultando em sarcoma de Kaposi,Outros,0
B211,Doença pelo HIV resultando em linfoma de Burkitt,Outros,0
B212,Doença pelo HIV resultando em outros tipos de linfoma não-Hodgkin,Outros,0
B213,"Doença pelo HIV resultando em outras neoplasias malignas dos tecidos linfático, hematopoético e correlatos",Outros,0
B217,Doença pelo HIV resultando em múltiplas neoplasias malignas,Outros,0
B218,Doença pelo HIV resultando em outras neoplasias malignas,Outros,0
B219,Doença pelo HIV resultando em neoplasia maligna não especificada,Outros,0
B220,Doença pelo HIV resultando em encefalopatia,Outros,0
B221,Doença pelo HIV resultando em pneumonite intersticial linfática,Outros,0
B222,Doença pelo HIV resultando em síndrome de emaciação,Outros,0
B227,Doença pelo HIV resultando em doenças múltiplas classificadas em outra parte,Outros,0
B230,Síndrome de infecção aguda pelo HIV,Outros,0
B231,Doença pelo HIV resultando em linfadenopatias generalizadas (persistentes),Outros,0
B232,Doença pelo HIV resultando em anomalias hematológicas e imunológicas não classificadas em outra parte,Outros,0
B238,Doença pelo HIV resultando em outra afecções especificadas,Outros,0
B24,Doença pelo vírus da imunodeficiência humana [HIV] não especificada,Outros,0
B250,Pneumonite por citomegalovírus ,Outros,0
B251,Hepatite por citomegalovírus,Outros,0
B252,Pancreatite por citomegalovírus,Outros,0
B258,Outras doenças por citomegalovírus,Outros,0
B259,Doença não especificada por citomegalovírus,Outros,0
B260,Orquite por caxumba [parotidite epidêmica],Outros,0
B261,Meningite por caxumba [parotidite epidêmica],Outros,0
B262,Encefalite por caxumba [parotidite epidêmica],Outros,0
B263,Pancreatite por caxumba [parotidite epidêmica],Outros,0
B268,Caxumba [parotidite epidêmica] com outras complicações,Outros,0
B269,Caxumba [parotidite epidêmica] sem complicações,Outros,0
B270,Mononucleose pelo vírus herpes gama,Outros,0
B271,Mononucleose por citomegalovírus,Outros,0
B278,Outras mononucleoses infecciosas,Outros,0
B279,Mononucleose infecciosa não especificada,Outros,0
B300,Ceratoconjuntivite devida a adenovírus,Outros,0
B301,Conjuntivite devida a adenovírus,Outros,0
B302,Faringoconjuntivite viral,Outros,0
B303,Conjuntivite hemorrágica aguda endêmica (por enterovírus),Outros,0
B308,Outras conjuntivites virais,Outros,0
B309,Conjuntivite viral não especificada,Outros,0
B330,Mialgia epidêmica,Outros,0
B331,Doença de Ross River,Outros,0
B332,Cardite viral,Outros,0
B333,Infecção por retrovírus não classificada em outra parte,Outros,0
B338,Outras doenças especificadas por vírus,Outros,0
B340,"Infecção por adenovírus, não especificada",Outros,0
B341,"Infecção por enterovírus, não especificada",Outros,0
B342,"Infecção por coronavírus, não especificada",Outros,0
B343,"Infecção por parvovírus, não especificada",Outros,0
B344,"Infecção por papovavírus, não especificada",Outros,0
B348,Outras infecções por vírus de localização não especificada,Outros,0
B349,Infecção viral não especificada,Outros,0
B350,Tinha da barba e do couro cabeludo,Outros,0
B351,Tinha das unhas,Outros,0
B352,Tinha da mão,Outros,0
B353,Tinha dos pés,Outros,0
B354,Tinha do corpo,Outros,0
B355,Tinha imbricada,Outros,0
B356,Tinea cruris,Outros,0
B358,Outras dermatofitoses,Outros,0
B359,Dermatofitose não especificada,Outros,0
B360,Pitiríase versicolor,Outros,0
B361,Tinha negra,Outros,0
B362,Piedra branca,Outros,0
B363,Piedra negra,Outros,0
B368,Outras micoses superficiais especificadas,Outros,0
B369,Micose superficial não especificada,Outros,0
B370,Estomatite por Candida,Outros,0
B371,Candidíase pulmonar,Outros,0
B372,Candidíase da pele e das unhas,Outros,0
B373,Candidíase da vulva e da vagina,Outros,0
B374,Candidíase de outras localizações urogenitais,Outros,0
B375,Meningite por Candida,Outros,0
B376,Endocardite por Candida,Outros,0
B377,Septicemia por Candida,Outros,0
B378,Candidíase de outras localizações,Outros,0
B379,Candidíase não especificada,Outros,0
B380,Coccidioidomicose pulmonar aguda,Outros,0
B381,Coccidioidomicose pulmonar crônica,Outros,0
B382,Coccidioidomicose pulmonar não especificada,Outros,0
B383,Coccidioidomicose cutânea,Outros,0
B384,Meningite por coccidioidomicose,Outros,0
B387,Coccidioidomicose disseminada,Outros,0
B388,Outras formas de coccidioidomicose,Outros,0
B389,Coccidioidomicose não especificada,Outros,0
B390,Histoplasmose pulmonar aguda por Histoplasma capsulatum,Outros,0
B391,Histoplasmose pulmonar crônica por Histoplasma capsulatum,Outros,0
